InvoiceNo,Description,OrderValue,Quantity,CustomerID,Country
553869,JUMBO BAG VINTAGE LEAF,20.8,10,15394.0,United Kingdom
566602,"LETTER ""M"" BLING KEY RING",0.83,1,,United Kingdom
575647,PLASTERS IN TIN WOODLAND ANIMALS,9.9,6,16440.0,United Kingdom
572513,SET OF 36 PAISLEY FLOWER DOILIES,2.9,2,16728.0,United Kingdom
542890,PAPER BUNTING COLOURED LACE,11.8,4,15311.0,United Kingdom
547883,PACK OF 60 PINK PAISLEY CAKE CASES,13.2,24,14755.0,United Kingdom
560264,NATURAL SLATE HEART CHALKBOARD ,17.7,6,12833.0,United Kingdom
539437,OFFICE MUG WARMER BLACK+SILVER ,23.64,4,,United Kingdom
555278,NUMBER TILE COTTAGE GARDEN 1,4.13,1,,United Kingdom
581492,FOOD COVER WITH BEADS SET 2 ,7.46,1,,United Kingdom
568142,GLASS APOTHECARY BOTTLE ELIXIR,3.95,1,16744.0,United Kingdom
545764,PAPER CHAIN KIT EMPIRE,70.8,24,13408.0,United Kingdom
581015,GINGHAM HEART  DOORSTOP RED,15.6,8,13949.0,United Kingdom
537397,HAND WARMER BABUSHKA DESIGN,25.2,12,16817.0,United Kingdom
543546,PAPER CHAIN KIT RETROSPOT,5.79,1,,United Kingdom
567662,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,8.32,4,17758.0,United Kingdom
574706,VINTAGE SNAKES & LADDERS,15.0,4,16790.0,United Kingdom
543815,EASTER TIN CHICKS PINK DAISY,3.3,2,17255.0,United Kingdom
547987,CHARLOTTE BAG SUKI DESIGN,8.5,10,17428.0,United Kingdom
575647,HOT WATER BOTTLE KEEP CALM,59.4,12,16440.0,United Kingdom
551197,ABC TREASURE BOOK BOX ,2.25,1,14078.0,United Kingdom
577078,WOODEN TREE CHRISTMAS SCANDINAVIAN,7.47,9,,United Kingdom
538349,CARD PARTY GAMES ,1.7,2,,United Kingdom
567668,PARISIENNE CURIO CABINET,14.96,1,,United Kingdom
581471,IVORY KITCHEN SCALES,8.5,1,14702.0,United Kingdom
537144,IVORY PILLAR CANDLE SILVER FLOCK,8.85,3,15880.0,United Kingdom
552677,OWL DOORSTOP,8.29,1,,United Kingdom
547223,CHILDREN'S SPACEBOY MUG,9.9,6,12867.0,United Kingdom
580865,JUMBO BAG ALPHABET,2.08,1,17914.0,United Kingdom
561693,HOMEMADE JAM SCENTED CANDLES,17.4,12,15120.0,United Kingdom
547886,BROWN CHECK CAT DOORSTOP ,12.75,3,13652.0,United Kingdom
579508,GLASS JAR DIGESTIVE BISCUITS,5.79,1,,United Kingdom
560224,JUMBO BAG DOILEY PATTERNS,4.16,2,14572.0,United Kingdom
565234,ROSES REGENCY TEACUP AND SAUCER ,52.11,9,,United Kingdom
545276,ANTIQUE SILVER TEA GLASS ENGRAVED,52.5,42,12933.0,United Kingdom
557645,RETRO MOD TRAY,1.63,1,,United Kingdom
552560,JUMBO BAG DOLLY GIRL DESIGN,20.8,10,17581.0,United Kingdom
536638,RED RETROSPOT PUDDING BOWL,17.0,4,16244.0,United Kingdom
572023,PACK OF 20 SPACEBOY NAPKINS,0.85,1,17764.0,United Kingdom
550210,DOTCOM POSTAGE,202.42,1,,United Kingdom
545661,WRAP ENGLISH ROSE ,10.5,25,15358.0,United Kingdom
542401,WOOD STAMP SET THANK YOU,4.95,3,14541.0,United Kingdom
537240,CHRISTMAS PUDDING TRINKET POT ,23.52,7,,United Kingdom
557281,PIGGY BANK RETROSPOT ,10.2,4,13632.0,United Kingdom
567183,STORAGE TIN VINTAGE DOILY ,5.78,2,14769.0,United Kingdom
578998,BLUE HARMONICA IN BOX ,1.25,1,15436.0,United Kingdom
556812,TEA TIME PARTY BUNTING,10.79,1,,United Kingdom
565233,HEART FILIGREE DOVE  SMALL,2.46,1,,United Kingdom
580983,HEART OF WICKER SMALL,3.29,1,,United Kingdom
558810,JUMBO BAG PINK VINTAGE PAISLEY,20.65,5,,United Kingdom
556441,GARDENERS KNEELING PAD CUP OF TEA ,6.6,4,14415.0,United Kingdom
544065,ASSORTED COLOURS SILK FAN,9.0,12,14346.0,United Kingdom
580908,3 STRIPEY MICE FELTCRAFT,1.95,1,16495.0,United Kingdom
545085,DOORMAT FANCY FONT HOME SWEET HOME,7.95,1,15039.0,United Kingdom
580877,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,1.25,1,17250.0,United Kingdom
581439,HEART FILIGREE DOVE  SMALL,7.38,3,,United Kingdom
572321,PACK OF 6 LARGE FRUIT STRAWS ,7.44,12,15592.0,United Kingdom
573543,RETROSPOT HEART HOT WATER BOTTLE,4.95,1,17777.0,United Kingdom
578270,TRADITIONAL MODELLING CLAY,22.14,9,14096.0,United Kingdom
563692,CHOCOLATE HOT WATER BOTTLE,9.9,2,17243.0,United Kingdom
562727,SET OF 6 SOLDIER SKITTLES,15.0,4,15601.0,United Kingdom
570288,HAND WARMER BIRD DESIGN,6.3,3,16960.0,United Kingdom
541421,GREEN FERN SKETCHBOOK ,7.46,1,,United Kingdom
554788,SWEETHEART WIRE MAGAZINE RACK,15.9,2,12987.0,United Kingdom
579089,SET/4 BIRD MIRROR MAGNETS ,0.29,1,17920.0,United Kingdom
543645,LUNCH BAG DOLLY GIRL DESIGN,4.95,3,17609.0,United Kingdom
565441,BLACK CANDELABRA T-LIGHT HOLDER,3.9,6,13240.0,United Kingdom
556107,BLUE SCANDINAVIAN PAISLEY WRAP,10.5,25,17360.0,United Kingdom
561231,DOLLY GIRL LUNCH BOX,5.85,3,15855.0,United Kingdom
549714,GROW A FLYTRAP OR SUNFLOWER IN TIN,1.25,1,,United Kingdom
559784,JUMBO BAG 50'S CHRISTMAS ,20.8,10,16839.0,United Kingdom
537154,CREAM CUPID HEARTS COAT HANGER,26.0,8,15808.0,United Kingdom
568134,GOLD MINI TAPE MEASURE ,0.83,1,,United Kingdom
575607,PORCELAIN ROSE SMALL,1.63,1,14096.0,United Kingdom
554839,SPOTTY BUNTING,29.7,6,14056.0,United Kingdom
543256,ROMANTIC PINKS RIBBONS ,7.5,6,17293.0,United Kingdom
575587,ASS FLORAL PRINT SPIRIT LEVEL ,9.48,12,17461.0,United Kingdom
565350,TRADITIONAL WOODEN CATCH CUP GAME ,3.75,3,14178.0,United Kingdom
570187,JAM MAKING SET PRINTED,3.29,1,,United Kingdom
576618, TRELLIS COAT RACK,10.79,1,,United Kingdom
539215,ALARM CLOCK BAKELIKE RED ,3.75,1,15574.0,United Kingdom
575491,UNION JACK FLAG LUGGAGE TAG,3.75,3,15531.0,United Kingdom
575410,POCKET BAG BLUE PAISLEY RED SPOT,15.0,12,17705.0,United Kingdom
546220,PACK OF 72 RETROSPOT CAKE CASES,39.6,72,16745.0,United Kingdom
569225,PANTRY MAGNETIC  SHOPPING LIST,2.9,2,16930.0,United Kingdom
541221,SKULLS WRITING SET ,4.92,2,,United Kingdom
573415,GINGHAM RECIPE BOOK BOX,9.9,2,13607.0,United Kingdom
574856,SET OF 5 LUCKY CAT MAGNETS ,4.13,1,,United Kingdom
581112,BICYCLE PUNCTURE REPAIR KIT ,24.96,12,16678.0,United Kingdom
565396,ROLL WRAP VINTAGE SPOT ,2.46,1,,United Kingdom
545580,72 SWEETHEART FAIRY CAKE CASES,13.2,24,13931.0,United Kingdom
562085,JAM MAKING SET PRINTED,34.8,24,15228.0,United Kingdom
559505,NATURAL SLATE HEART CHALKBOARD ,35.4,12,16398.0,United Kingdom
539453,12 EGG HOUSE PAINTED WOOD,25.49,1,,United Kingdom
579142,CHRISTMAS RETROSPOT TREE WOOD,2.55,3,16744.0,United Kingdom
548309,PLASTERS IN TIN CIRCUS PARADE ,1.65,1,16657.0,United Kingdom
540703,WRAP SUKI AND FRIENDS,10.5,25,14135.0,United Kingdom
546913,RECIPE BOX RETROSPOT ,2.95,1,15861.0,United Kingdom
550834,BOX OF 6 ASSORTED COLOUR TEASPOONS,4.25,1,14730.0,United Kingdom
581167,JUMBO  BAG BAROQUE BLACK WHITE,20.8,10,13534.0,United Kingdom
547655,HOME SWEET HOME MUG,15.0,12,14267.0,United Kingdom
567333,MOODY GIRL DOOR HANGER ,9.36,24,14282.0,United Kingdom
550211,JUMBO SHOPPER VINTAGE RED PAISLEY,4.13,1,,United Kingdom
564223,EMPIRE UNION JACK TV DINNER TRAY,14.85,3,13013.0,United Kingdom
563333,PHOTO FRAME CORNICE,11.8,4,15996.0,United Kingdom
577058,TOILET SIGN OCCUPIED OR VACANT,0.83,1,18122.0,United Kingdom
541282,RETRO COFFEE MUGS ASSORTED,7.5,6,17690.0,United Kingdom
580771,SET OF 4 NAPKIN CHARMS CROWNS ,3.16,4,16015.0,United Kingdom
554538,SWEETHEART CREAM STEEL TABLE RECT,39.9,2,,United Kingdom
562851,HEART FILIGREE DOVE LARGE,19.8,12,13117.0,United Kingdom
559338,SCOTTIE DOGS BABY BIB,1.66,2,,United Kingdom
578072,BOX OF 6 MINI VINTAGE CRACKERS,4.98,2,17759.0,United Kingdom
556734,BLACK/BLUE POLKADOT UMBRELLA,17.85,3,13476.0,United Kingdom
557476,PARTY BUNTING,39.6,8,18223.0,United Kingdom
539739,SMALL HEART MEASURING SPOONS,6.64,4,,United Kingdom
581023,SET 6 SCHOOL MILK BOTTLES IN CRATE,29.84,4,,United Kingdom
579508,CERAMIC CHERRY CAKE MONEY BANK,3.29,1,,United Kingdom
575176,CARD SUKI BIRTHDAY,0.84,2,,United Kingdom
573876,SET OF 60 I LOVE LONDON CAKE CASES ,1.1,2,16360.0,United Kingdom
559818,COLOUR GLASS T-LIGHT HOLDER HANGING,79.2,144,13408.0,United Kingdom
536409,CHOCOLATE HOT WATER BOTTLE,4.95,1,17908.0,United Kingdom
569220,MODERN FLORAL STATIONERY SET,2.5,2,16007.0,United Kingdom
547947,LUNCH BAG PINK POLKADOT,16.5,10,15032.0,United Kingdom
557311,SET3 BOOK BOX GREEN GINGHAM FLOWER ,8.5,2,15700.0,United Kingdom
551718,VINTAGE SNAP CARDS,1.63,1,,United Kingdom
557502,CIRCUS PARADE CHILDRENS EGG CUP ,2.46,1,,United Kingdom
578935,SKETCHBOOK MAGNETIC SHOPPING LIST,1.45,1,15351.0,United Kingdom
546100,EASTER DECORATION SITTING BUNNY,10.2,12,16572.0,United Kingdom
550208,VICTORIAN SEWING BOX SMALL ,12.46,1,,United Kingdom
575073,15CM CHRISTMAS GLASS BALL 20 LIGHTS,31.8,4,13975.0,United Kingdom
577078,RED GINGHAM ROSE JEWELLERY BOX,4.13,1,,United Kingdom
569790,CHOCOLATE BOX RIBBONS ,1.25,1,15910.0,United Kingdom
579103,VINTAGE LEAF MAGNETIC NOTEPAD,1.45,1,18041.0,United Kingdom
559991,APRON APPLE DELIGHT,4.95,1,14527.0,United Kingdom
558370,SANDALWOOD FAN,10.2,12,17750.0,United Kingdom
578251,SET OF 6 3D KIT CARDS FOR KIDS,5.95,7,15993.0,United Kingdom
578533,GLITTER BUTTERFLY CLIPS,15.3,6,17767.0,United Kingdom
571502,RIBBON REEL FLORA + FAUNA ,16.5,10,14422.0,United Kingdom
571121,CHOCOLATE HOT WATER BOTTLE,44.55,9,18228.0,United Kingdom
541215,CHOCOLATE HOT WATER BOTTLE,29.7,6,14329.0,United Kingdom
566561,FELTCRAFT PRINCESS OLIVIA DOLL,15.0,4,18145.0,United Kingdom
573923, RED SPOT GIFT BAG LARGE,25.0,20,17965.0,United Kingdom
578263,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,15.8,20,17422.0,United Kingdom
566279,FOLK ART METAL HEART T-LIGHT HOLDER,1.52,4,14432.0,United Kingdom
578032,CANDLE HOLDER SILVER MADELINE,19.8,12,16633.0,United Kingdom
549241,PLASTERS IN TIN SPACEBOY,3.3,2,15719.0,United Kingdom
548354,COFFEE MUG APPLES DESIGN,75.6,36,15981.0,United Kingdom
560824,SET OF 60 I LOVE LONDON CAKE CASES ,1.65,3,17935.0,United Kingdom
577504,SET 12 RETRO WHITE CHALK STICKS,0.84,2,14159.0,United Kingdom
568591,JUMBO STORAGE BAG SKULLS,20.8,10,17088.0,United Kingdom
556959,RED RETROSPOT MUG,17.7,6,16739.0,United Kingdom
567668,CHARLOTTE BAG APPLES DESIGN,4.89,3,,United Kingdom
540821,4 VANILLA BOTANICAL CANDLES,2.51,1,,United Kingdom
561195,SET OF 5 PANCAKE DAY MAGNETS,4.16,2,14796.0,United Kingdom
538852,GUMBALL COAT RACK,2.55,1,17372.0,United Kingdom
542621,CAKES AND BOWS GIFT  TAPE,7.8,12,12528.0,Germany
572241,HAND WARMER OWL DESIGN,25.2,12,12712.0,Germany
578024,EGG CUP HENRIETTA HEN CREAM ,15.0,12,12705.0,Germany
555553,CHARLOTTE BAG VINTAGE ALPHABET ,8.5,10,12662.0,Germany
580511,HAND WARMER OWL DESIGN,50.4,24,12560.0,Germany
550620,CHILDS BREAKFAST SET CIRCUS PARADE,34.0,4,12585.0,Germany
564039,MINI PAINT SET VINTAGE ,23.4,36,12645.0,Germany
571304,ASSORTED COLOUR MINI CASES,15.9,2,12526.0,Germany
562035,RETROSPOT TEA SET CERAMIC 11 PC ,14.85,3,12627.0,Germany
560569,WRAP DOILEY DESIGN,10.5,25,12480.0,Germany
571724,MAGNETS PACK OF 4 HOME SWEET HOME,4.68,12,12572.0,Germany
552978,LUNCH BOX WITH CUTLERY RETROSPOT ,126.0,60,12590.0,Germany
552978,ASSORTED COLOURS SILK FAN,390.0,600,12590.0,Germany
540410,SET/6 RED SPOTTY PAPER PLATES,10.2,12,12530.0,Germany
539957,METAL DECORATION NAUGHTY CHILDREN ,20.4,24,12585.0,Germany
564749,PLASTERS IN TIN STRONGMAN,19.8,12,12708.0,Germany
556517,LUNCH BAG DOILEY PATTERN ,33.0,20,12481.0,Germany
578024,ADVENT CALENDAR GINGHAM SACK,35.7,6,12705.0,Germany
558881,DOORMAT WELCOME TO OUR HOME,15.9,2,12705.0,Germany
547925,WRAP VINTAGE PETALS  DESIGN,10.5,25,12481.0,Germany
576787,WOODLAND CHARLOTTE BAG,17.0,20,13815.0,Germany
552878,POSTAGE,144.0,8,12625.0,Germany
564972,GREEN REGENCY TEACUP AND SAUCER,17.7,6,12621.0,Germany
564140,WRAP GREEN PEARS ,10.5,25,12621.0,Germany
579416,SPACEBOY ROCKET LOLLY MAKERS,37.44,18,12471.0,Germany
575787,WRAP DOLLY GIRL,10.5,25,12518.0,Germany
581000,SET OF 6 HERB TINS SKETCHBOOK,15.0,12,12720.0,Germany
561468,200 RED + WHITE BENDY STRAWS,75.0,60,12709.0,Germany
556578,ENAMEL WATERING CAN CREAM,19.8,4,12472.0,Germany
565416,PINK HAPPY BIRTHDAY BUNTING,16.35,3,12710.0,Germany
540458,PACK OF 6 SKULL PAPER PLATES,10.2,12,12501.0,Germany
561911,HEART OF WICKER SMALL,19.8,12,12534.0,Germany
543587,DOORMAT WELCOME TO OUR HOME,15.9,2,12561.0,Germany
549193,JUMBO BAG PINK VINTAGE PAISLEY,20.8,10,12580.0,Germany
577615,3D CHRISTMAS STAMPS STICKERS ,22.5,18,12658.0,Germany
556509,TREASURE TIN BUFFALO BILL ,12.48,6,12708.0,Germany
568056,BLUE SPOT CERAMIC DRAWER KNOB,17.4,12,12705.0,Germany
537201,CHILDRENS APRON APPLES DESIGN,15.6,8,12472.0,Germany
540553,DOORMAT AIRMAIL ,15.9,2,12500.0,Germany
571065,DOLLY GIRL MINI BACKPACK,16.6,4,12613.0,Germany
560635,HEART WREATH DECORATION WITH BELL,15.0,12,12521.0,Germany
554861,APRON APPLE DELIGHT,19.8,4,12633.0,Germany
565765,STRAWBERRY LUNCH BOX WITH CUTLERY,15.3,6,12526.0,Germany
540458,PAPER BUNTING COLOURED LACE,17.7,6,12501.0,Germany
571658,TRADITIONAL KNITTING NANCY,19.8,12,12621.0,Germany
576787,JUMBO BAG VINTAGE DOILY ,20.8,10,13815.0,Germany
541965,RAIN PONCHO RETROSPOT,20.4,24,12625.0,Germany
556443,LARGE CHINESE STYLE SCISSOR,8.5,10,12712.0,Germany
567666,PINK AND WHITE CHRISTMAS TREE 120CM,17.7,6,12520.0,Germany
542713,FAIRY CAKE BIRTHDAY CANDLE SET,30.0,8,12668.0,Germany
576890,MINI LIGHTS WOODLAND MUSHROOMS,15.0,4,12662.0,Germany
555162,PACK 3 BOXES BIRD PANNETONE ,23.4,12,12473.0,Germany
569893,REGENCY CAKESTAND 3 TIER,12.75,1,12627.0,Germany
543056,REGENCY CAKESTAND 3 TIER,350.4,32,12471.0,Germany
581266,MULTICOLOUR HONEYCOMB FAN,4.68,12,12621.0,Germany
553741,RED RETROSPOT CAKE STAND,65.7,6,12520.0,Germany
565416,PACK OF 12 WOODLAND TISSUES ,6.96,24,12710.0,Germany
555162,PACK OF 6 PANNETONE GIFT BOXES,15.3,6,12473.0,Germany
555282,PANTRY WASHING UP BRUSH,17.4,12,12709.0,Germany
549316,SET/6 RED SPOTTY PAPER CUPS,7.8,12,12705.0,Germany
560728,RED BABY BUNTING ,14.75,5,12520.0,Germany
544573,COFFEE MUG PEARS  DESIGN,30.6,12,12621.0,Germany
546759,HOLIDAY FUN LUDO,15.0,4,12712.0,Germany
568350,ANT COPPER TURQ BOUDICCA BRACELET,44.55,9,12612.0,Germany
578509,ROUND SNACK BOXES SET OF 4 FRUITS ,17.7,6,12705.0,Germany
581266,TRADITIONAL PICK UP STICKS GAME ,15.0,12,12621.0,Germany
567958,SET OF 60 I LOVE LONDON CAKE CASES ,13.2,24,12619.0,Germany
537201,WOODEN TREE CHRISTMAS SCANDINAVIAN,20.4,24,12472.0,Germany
538174,FUNKY DIVA PEN,81.6,96,12471.0,Germany
539395,BREAD BIN DINER STYLE PINK,89.7,6,12471.0,Germany
568674,PANTRY CHOPPING BOARD,14.85,3,12708.0,Germany
568674,SET 2 PANTRY DESIGN TEA TOWELS,19.5,6,12708.0,Germany
545718,SPACEBOY TV DINNER TRAY,14.85,3,12614.0,Germany
573284,EMBROIDERED RIBBON REEL DAISY ,12.48,6,13812.0,Germany
542128,KIDS RAIN MAC BLUE,20.4,24,12609.0,Germany
576607,POSTAGE,72.0,4,12474.0,Germany
564856,WHITE SPOT RED CERAMIC DRAWER KNOB,15.0,12,12477.0,Germany
540458,CHILDS BREAKFAST SET DOLLY GIRL ,19.9,2,12501.0,Germany
567904,LUNCH BAG WOODLAND,16.5,10,12609.0,Germany
564079,LUNCH BAG APPLE DESIGN,16.5,10,12627.0,Germany
542369,PLASTERS IN TIN STRONGMAN,39.6,24,12645.0,Germany
572061,LIGHT GARLAND BUTTERFILES PINK,17.0,4,12474.0,Germany
560876,CLOTHES PEGS RETROSPOT PACK 24 ,19.8,12,12626.0,Germany
547383,SET/6 RED SPOTTY PAPER PLATES,10.2,12,12613.0,Germany
577135,CHILDS BREAKFAST SET SPACEBOY ,68.0,8,12427.0,Germany
576890,ROLL WRAP VINTAGE CHRISTMAS,15.0,12,12662.0,Germany
572061,MINI PLAYING CARDS GYMKHANA,8.4,20,12474.0,Germany
571065,RETROSPOT HEART HOT WATER BOTTLE,14.85,3,12613.0,Germany
542106,SET OF 72 RETROSPOT PAPER  DOILIES,69.6,48,12709.0,Germany
540769,JAM MAKING SET PRINTED,17.4,12,12601.0,Germany
559298,SET OF 5 PANCAKE DAY MAGNETS,24.96,12,12471.0,Germany
569893,CLOTHES PEGS RETROSPOT PACK 24 ,19.8,12,12627.0,Germany
566233,RED RETROSPOT CAKE STAND,10.95,1,12635.0,Germany
568350,RED KUKUI COCONUT SEED NECKLACE,24.0,24,12612.0,Germany
560230,POSTAGE,36.0,2,12600.0,Germany
550137,HOME SWEET HOME METAL SIGN ,35.4,12,12477.0,Germany
543587,METAL 4 HOOK HANGER FRENCH CHATEAU,23.6,8,12561.0,Germany
554104,GIFT BAG PSYCHEDELIC APPLES,7.8,12,12705.0,Germany
560230,ASS FLORAL PRINT MULTI SCREWDRIVER,10.08,24,12600.0,Germany
574071,ZINC WILLIE WINKIE  CANDLE STICK,10.2,12,12654.0,Germany
540351,PACK OF 72 RETROSPOT CAKE CASES,13.2,24,12735.0,France
574104,HEART WOODEN CHRISTMAS DECORATION,10.2,12,12615.0,France
538008,SET/10 PINK POLKADOT PARTY CANDLES,30.0,24,12683.0,France
569921,STOOL HOME SWEET HOME ,12.5,1,12523.0,France
579345,MAGIC DRAWING SLATE DOLLY GIRL ,10.08,24,12727.0,France
546479,LUNCH BAG WOODLAND,16.5,10,12682.0,France
566736,CACTI T-LIGHT CANDLES,6.72,16,12726.0,France
547722,SET/6 COLLAGE PAPER CUPS,7.8,12,12553.0,France
556529,LUNCH BOX WITH CUTLERY RETROSPOT ,30.6,12,12714.0,France
536974,SET OF SALT AND PEPPER TOADSTOOLS,15.0,12,12682.0,France
547722,EDWARDIAN PARASOL BLACK,17.85,3,12553.0,France
556259,SMALL RED RETROSPOT WINDMILL,30.0,24,12721.0,France
579492,ROUND SNACK BOXES SET OF 4 FRUITS ,70.8,24,12670.0,France
575629,PAPER CHAIN KIT 50'S CHRISTMAS ,17.7,6,12599.0,France
579792,MAGNETS PACK OF 4 HOME SWEET HOME,4.68,12,12714.0,France
575692,LONDON BUS COFFEE MUG,7.65,3,12508.0,France
542433,SET OF 6 T-LIGHTS CACTI ,53.1,18,12726.0,France
540351,ROMANTIC IMAGES GIFT WRAP SET,12.6,6,12735.0,France
548496,PLASTERS IN TIN SPACEBOY,139.2,96,12678.0,France
574506,LUNCH BAG PAISLEY PARK  ,1.65,1,12577.0,France
544470,WOODEN SKITTLES GARDEN SET,51.0,4,12707.0,France
561795,RED RETROSPOT OVEN GLOVE ,12.5,10,12716.0,France
569122,SET OF 6 SNACK LOAF BAKING CASES,6.64,8,12694.0,France
545583,FELTCRAFT CUSHION OWL,15.0,4,12553.0,France
551544,PINK PARTY BAGS,63.0,30,12683.0,France
568040,SET/10 RED POLKADOT PARTY CANDLES,30.0,24,12681.0,France
579193,SET 2 TEA TOWELS I LOVE LONDON ,19.5,6,12657.0,France
544355,RED RETROSPOT CHILDRENS UMBRELLA,19.5,6,12714.0,France
576087,CHILDRENS APRON SPACEBOY DESIGN,15.6,8,12689.0,France
574104,RED ROCKING HORSE HAND PAINTED,30.0,24,12615.0,France
570672,CHARLIE & LOLA WASTEPAPER BIN FLORA,15.0,12,12536.0,France
560272,POSTAGE,18.0,1,12691.0,France
561470,WRAP DOILEY DESIGN,10.5,25,12523.0,France
564897,SET OF 12 FAIRY CAKE BAKING CASES,59.76,72,12678.0,France
543188,JAM JAR WITH PINK LID,10.2,12,12567.0,France
540642,RED TOADSTOOL LED NIGHT LIGHT,19.8,12,12681.0,France
540642,RETROSPOT TEA SET CERAMIC 11 PC ,14.85,3,12681.0,France
579792,WHITE ROCKING HORSE HAND PAINTED,30.0,24,12714.0,France
580705,SET OF 3 REGENCY CAKE TINS,19.8,4,12683.0,France
570672,STRAWBERRY CHARLOTTE BAG,8.5,10,12536.0,France
541120,SOLDIERS EGG CUP ,15.0,12,12490.0,France
566816,QUEENS GUARD COFFEE MUG,61.2,24,12731.0,France
555941,SET/20 RED RETROSPOT PAPER NAPKINS ,10.2,12,12726.0,France
563288,BLUE POLKADOT WRAP,10.5,25,12656.0,France
547504,CHILDRENS APRON APPLES DESIGN,15.6,8,12683.0,France
552631,12 PENCILS SMALL TUBE SKULL,15.6,24,12684.0,France
540239,BLUE ROSE FABRIC MIRROR,15.0,12,12682.0,France
539050,RIBBON REEL LACE DESIGN ,2.1,1,12577.0,France
541120,CHILDRENS APRON APPLES DESIGN,15.6,8,12490.0,France
577295,RABBIT NIGHT LIGHT,128.88,72,12682.0,France
570851,SPACEBOY MINI BACKPACK,132.8,32,12583.0,France
564670,POSTAGE,108.0,6,12683.0,France
547892,SET OF SALT AND PEPPER TOADSTOOLS,15.0,12,12669.0,France
544817,PLASTERS IN TIN CIRCUS PARADE ,19.8,12,12437.0,France
541121,PINK BABY BUNTING,44.25,15,12672.0,France
